Mod:Item:MetaData, Localized Name
thermalfoundation:glass:3, Усиленное свинцовое стекло
thermalfoundation:glass:4, Усиленное алюминиевое стекло
thermalfoundation:glass:5, Усиленное никелевое стекло
thermalfoundation:glass:6, Усиленное платиновое стекло
thermalfoundation:glass:7, Усиленное иридиевое стекло
thermalfoundation:glass:8, Усиленное мифриловое стекло
thermalfoundation:glass_alloy:0, Усиленное стальное стекло
thermalfoundation:glass_alloy:1, Усиленное электрумовое стекло
thermalfoundation:glass_alloy:2, Усиленное инваровое стекло
thermalfoundation:glass_alloy:3, Усиленное бронзовое стекло
thermalfoundation:glass_alloy:4, Усиленное константовое стекло
thermalfoundation:glass_alloy:5, Усиленное синаловое стекло
thermalfoundation:glass_alloy:6, Усиленное ламиумовое стекло
thermalfoundation:glass_alloy:7, Усиленное эндериумное стекло
thermalfoundation:rockwool:0, Чёрная минеральная шерсть
thermalfoundation:rockwool:1, Красная минеральная шерсть
thermalfoundation:rockwool:2, Зелёная минеральная шерсть
thermalfoundation:rockwool:3, Коричневая минеральная шерсть
thermalfoundation:rockwool:4, Синяя минеральная шерсть
thermalfoundation:rockwool:5, Пурпурная минеральная шерсть
thermalfoundation:rockwool:6, Голубая минеральная шерсть
thermalfoundation:rockwool:7, Светло-серая минеральная шерсть
thermalfoundation:rockwool:8, Серая минеральная шерсть
thermalfoundation:rockwool:9, Розовая минеральная шерсть
thermalfoundation:rockwool:10, Лаймовая минеральная шерсть
thermalfoundation:rockwool:11, Жёлтая минеральная шерсть
thermalfoundation:rockwool:12, Светло-синяя минеральная шерсть
thermalfoundation:rockwool:13, Фиолетовая минеральная шерсть
thermalfoundation:rockwool:14, Оранжевая минеральная шерсть
thermalfoundation:rockwool:15, Белая минеральная шерсть
thermalfoundation:wrench:0, Серповидный молот
thermalfoundation:meter:0, Мультиметр
thermalfoundation:upgrade:0, Усиленный набор обновления
thermalfoundation:upgrade:1, Укреплённый набор обновления
thermalfoundation:upgrade:2, Синаловый набор обновления
thermalfoundation:upgrade:3, Резонирующий набор обновления
thermalfoundation:upgrade:33, Усиленный набор преобразования
thermalfoundation:upgrade:34, Синаловый набор преобразования
thermalfoundation:upgrade:35, Резонирующий набор преобразования
thermalfoundation:upgrade:256, Творческий набор преобразования
thermalfoundation:security:0, Синаловый замок безопасности
thermalfoundation:diagram_redprint, Красная печать
thermalfoundation:tome_lexicon, Лексикон Forge
thermalfoundation:tome_experience, Том знаний
thermalfoundation:coin:0, Железная монета
thermalfoundation:coin:1, Золотая монета
thermalfoundation:coin:64, Медная монета
thermalfoundation:coin:65, Оловянная монета
thermalfoundation:coin:66, Серебряная монета
thermalfoundation:coin:67, Свинцовая монета
thermalfoundation:coin:68, Алюминиевая монета
thermalfoundation:coin:69, Никелевая монета
thermalfoundation:coin:70, Платиновая монета
thermalfoundation:coin:71, Иридиевая монета
thermalfoundation:coin:72, Мифриловая монета
thermalfoundation:coin:96, Стальная монета
thermalfoundation:coin:97, Электрумовая монета
thermalfoundation:coin:98, Инваровая монета
thermalfoundation:coin:99, Бронзовая монета
thermalfoundation:coin:100, Константановая мионета
thermalfoundation:coin:101, Синаловая монета
thermalfoundation:coin:102, Ламиумовая монета
thermalfoundation:coin:103, Эндериумная монета
thermalfoundation:fertilizer:0, Фито-Гро
thermalfoundation:fertilizer:1, Обогащённый Фито-Гро
thermalfoundation:fertilizer:2, Флаксовый Фито-Гро
thermalfoundation:bait:0, Приманка
thermalfoundation:bait:1, Насыщенная приманка
thermalfoundation:bait:2, Наполненная флаксом приманка
thermalfoundation:dye:0, Черный пигмент
thermalfoundation:dye:1, Красный пигмент
thermalfoundation:dye:2, Зеленый пигмент
thermalfoundation:dye:3, Коричневый пигмент
thermalfoundation:dye:4, Синий пигмент
thermalfoundation:dye:5, Фиолетовый пигмент
thermalfoundation:dye:6, Голубой пигмент
thermalfoundation:dye:7, Светло-серый пигмент
thermalfoundation:dye:8, Серый пигмент
thermalfoundation:dye:9, Розовый пигмент
thermalfoundation:dye:10, Лаймовый пигмент
thermalfoundation:dye:11, Желтый пигмент
thermalfoundation:dye:12, Светло-синий пигмент
thermalfoundation:dye:13, Пурпурный пигмент
thermalfoundation:dye:14, Оранжевый пигмент
thermalfoundation:dye:15, Белый пигмент
thermalfoundation:material:0, Измельчённое железо
thermalfoundation:material:1, Измельчённое золото
thermalfoundation:material:16, Кусочек алмаза
thermalfoundation:material:17, Кусочек изумруда
thermalfoundation:material:22, Деревянная шестерня
thermalfoundation:material:23, Каменная шестерня
thermalfoundation:material:24, Железная шестерня
thermalfoundation:material:25, Золотая шестерня
thermalfoundation:material:26, Алмазная шестерня
thermalfoundation:material:27, Изумрудная шестерня
thermalfoundation:material:32, Железная пластина
thermalfoundation:material:33, Золотая пластина
thermalfoundation:material:64, Измельчённая медь
thermalfoundation:material:65, Измельчённое олово
thermalfoundation:material:66, Измельчённое серебро
thermalfoundation:material:67, Измельчённый свинец
thermalfoundation:material:68, Измельчённый алюминий
thermalfoundation:material:69, Измельчённый никель
thermalfoundation:material:70, Измельчённая платина
thermalfoundation:material:71, Измельчённый иридий
thermalfoundation:material:72, Измельчённый мифрил
thermalfoundation:material:96, Стальная смесь
thermalfoundation:material:97, Смесь электрума
thermalfoundation:material:98, Инваровая смесь
thermalfoundation:material:99, Бронзовая смесь
thermalfoundation:material:100, Константановая смесь
thermalfoundation:material:101, Синаловая смесь
thermalfoundation:material:102, Ламиумовая смесь
thermalfoundation:material:103, Смесь эндериума
thermalfoundation:material:128, Медный слиток
thermalfoundation:material:129, Оловянный слиток
thermalfoundation:material:130, Серебряный слиток
thermalfoundation:material:131, Свинцовый слиток
thermalfoundation:material:132, Алюминиевый слиток
thermalfoundation:material:133, Никелевый слиток
thermalfoundation:material:134, Платиновый слиток
thermalfoundation:material:135, Иридиевый слиток
thermalfoundation:material:136, Мифриловый слиток
thermalfoundation:material:160, Стальной слиток
thermalfoundation:material:161, Электрумовый слиток
thermalfoundation:material:162, Инваровый слиток
thermalfoundation:material:163, Бронзовый слиток
thermalfoundation:material:164, Константановый слиток
thermalfoundation:material:165, Синаловый слиток
thermalfoundation:material:166, Ламиумовый слиток
thermalfoundation:material:167, Эндериумный слиток
thermalfoundation:material:192, Кусочек меди
thermalfoundation:material:193, Кусочек олова
thermalfoundation:material:194, Кусочек серебра
thermalfoundation:material:195, Кусочек свинца
thermalfoundation:material:196, Кусочек алюминия
thermalfoundation:material:197, Кусочек никеля
thermalfoundation:material:198, Кусочек платины
thermalfoundation:material:199, Кусочек иридия
thermalfoundation:material:200, Кусочек мифрила
thermalfoundation:material:224, Кусочек стали
thermalfoundation:material:225, Кусочек электрума
thermalfoundation:material:226, Кусочек инвара
thermalfoundation:material:227, Кусочек бронзы
thermalfoundation:material:228, Кусочек константана
thermalfoundation:material:229, Кусочек синала
thermalfoundation:material:230, Кусочек ламиума
thermalfoundation:material:231, Кусочек эндериума
thermalfoundation:material:256, Медная шестерня
thermalfoundation:material:257, Оловянная шестерня
thermalfoundation:material:258, Серебряная шестерня
thermalfoundation:material:259, Свинцовая шестерня
thermalfoundation:material:260, Алюминиевая шестерня
thermalfoundation:material:261, Никелевая шестерня
thermalfoundation:material:262, Платиновая шестерня
thermalfoundation:material:263, Иридиевая шестерня
thermalfoundation:material:264, Мифриловая шестерня
thermalfoundation:material:288, Стальная шестерня
thermalfoundation:material:289, Электрумовая шестерня
thermalfoundation:material:290, Инваровая шестерня
thermalfoundation:material:291, Бронзовая шестерня
thermalfoundation:material:292, Константановая шестерня
thermalfoundation:material:293, Синаловая шестерня
thermalfoundation:material:294, Ламиумовая шестерня
thermalfoundation:material:295, Эндериумная шестерня
thermalfoundation:material:320, Медная пластина
thermalfoundation:material:321, Оловянная пластина
thermalfoundation:material:322, Серебряная пластина
thermalfoundation:material:323, Свинцовая пластина
thermalfoundation:material:324, Алюминиевая пластина
thermalfoundation:material:325, Никелевая пластина
thermalfoundation:material:326, Платиновая пластина
thermalfoundation:material:327, Иридиевая пластина
thermalfoundation:material:328, Мифриловая пластина
thermalfoundation:material:352, Стальная пластина
thermalfoundation:material:353, Электрумовая пластина
thermalfoundation:material:354, Инваровая пластина
thermalfoundation:material:355, Бронзовая пластина
thermalfoundation:material:356, Константановая пластина
thermalfoundation:material:357, Синаловая пластина
thermalfoundation:material:358, Ламиумовая пластина
thermalfoundation:material:359, Эндериумная пластина
thermalfoundation:material:512, Красный сервомотор
thermalfoundation:material:513, Красная принимающая катушка
thermalfoundation:material:514, Красная отдающая катушка
thermalfoundation:material:515, Красная проводящая катушка
thermalfoundation:material:640, Корпус инструмента
thermalfoundation:material:656, Головка дрели
thermalfoundation:material:657, Лезвие пилы
thermalfoundation:material:768, Измельчённый уголь
thermalfoundation:material:769, Измельчённый древесный уголь
thermalfoundation:material:770, Измельчённый обсидиан
thermalfoundation:material:771, Сера
thermalfoundation:material:772, Селитра
thermalfoundation:material:800, Опилки
thermalfoundation:material:801, Прессованные опилки
thermalfoundation:material:802, Коксовый уголь
thermalfoundation:material:816, Очищенная биомасса
thermalfoundation:material:817, Обогащённая биомасса
thermalfoundation:material:818, Очищенная биосмесь
thermalfoundation:material:819, Обогащённая биосмесь
thermalfoundation:material:832, Канифоль
thermalfoundation:material:833, Смола
thermalfoundation:material:864, Шлак
thermalfoundation:material:865, Обогащённый шлак
thermalfoundation:material:866, Киноварь
thermalfoundation:material:892, Битум
thermalfoundation:material:893, Дестабилизированный клатрат
thermalfoundation:material:894, Заряженный клатрат
thermalfoundation:material:895, Резонирующий клатрат
thermalfoundation:material:1024, Пыль пиротеума
thermalfoundation:material:1025, Пыль криотеума
thermalfoundation:material:1026, Пыль аэротеума
thermalfoundation:material:1027, Пыль петротеума
thermalfoundation:material:1028, Пыль маны
thermalfoundation:material:2048, Стержень Близза
thermalfoundation:material:2049, Порошок Близза
thermalfoundation:material:2050, Стержень Блитца
thermalfoundation:material:2051, Порошок Блитца
thermalfoundation:material:2052, Стержень Базальца
thermalfoundation:material:2053, Порошок Базальца
thermalfoundation:geode:0, Жеода
thermalfoundation:armor.helmet_copper, Медный шлем
thermalfoundation:armor.plate_copper, Медный нагрудник
thermalfoundation:armor.legs_copper, Медные поножи
thermalfoundation:armor.boots_copper, Медные ботинки
thermalfoundation:armor.helmet_tin, Оловянный шлем
thermalfoundation:armor.plate_tin, Оловянный нагрудник
thermalfoundation:armor.legs_tin, Оловянные поножи
thermalfoundation:armor.boots_tin, Оловянные ботинки
thermalfoundation:armor.helmet_silver, Серебряный шлем
thermalfoundation:armor.plate_silver, Серебряный нагрудник
thermalfoundation:armor.legs_silver, Серебряные поножи
thermalfoundation:armor.boots_silver, Серебряные ботинки
thermalfoundation:armor.helmet_lead, Свинцовый шлем
thermalfoundation:armor.plate_lead, Свинцовый нагрудник
thermalfoundation:armor.legs_lead, Свинцовые поножи
thermalfoundation:armor.boots_lead, Свинцовые ботинки
thermalfoundation:armor.helmet_aluminum, Алюминиевый шлем
thermalfoundation:armor.plate_aluminum, Алюминиевый нагрудник
thermalfoundation:armor.legs_aluminum, Алюминиевые поножи
thermalfoundation:armor.boots_aluminum, Алюминиевые ботинки
thermalfoundation:armor.helmet_nickel, Никелевый шлем
thermalfoundation:armor.plate_nickel, Никелевый нагрудник
thermalfoundation:armor.legs_nickel, Никелевые поножи
thermalfoundation:armor.boots_nickel, Никелевые ботинки
thermalfoundation:armor.helmet_platinum, Платиновый шлем
thermalfoundation:armor.plate_platinum, Платиновый нагрудник
thermalfoundation:armor.legs_platinum, Платиновые поножи
thermalfoundation:armor.boots_platinum, Платиновые ботинки
thermalfoundation:armor.helmet_steel, Стальной шлем
thermalfoundation:armor.plate_steel, Стальной нагрудник
thermalfoundation:armor.legs_steel, Стальные поножи
thermalfoundation:armor.boots_steel, Стальные ботинки
thermalfoundation:armor.helmet_electrum, Электрумовый шлем
thermalfoundation:armor.plate_electrum, Электрумовый нагрудник
thermalfoundation:armor.legs_electrum, Электрумовые поножи
thermalfoundation:armor.boots_electrum, Электрумовые ботинки
thermalfoundation:armor.helmet_invar, Инваровый шлем
thermalfoundation:armor.plate_invar, Инваровый нагрудник
thermalfoundation:armor.legs_invar, Инваровые поножи
thermalfoundation:armor.boots_invar, Инваровые ботинки
thermalfoundation:armor.helmet_bronze, Бронзовый шлем
thermalfoundation:armor.plate_bronze, Бронзовый нагрудник
thermalfoundation:armor.legs_bronze, Бронзовые поножи
thermalfoundation:armor.boots_bronze, Бронзовые ботинки
thermalfoundation:armor.helmet_constantan, Константановый шлем
thermalfoundation:armor.plate_constantan, Константановый нагрудник
thermalfoundation:armor.legs_constantan, Константановые поножи
thermalfoundation:armor.boots_constantan, Константановые ботинки
thermalfoundation:tool.sword_copper, Медный меч
thermalfoundation:tool.shovel_copper, Медная лопата
thermalfoundation:tool.pickaxe_copper, Медная кирка
thermalfoundation:tool.axe_copper, Медный топор
thermalfoundation:tool.hoe_copper, Медная мотыга
thermalfoundation:tool.bow_copper, Медный укрепленный лук
thermalfoundation:tool.fishing_rod_copper, Медная удочка
thermalfoundation:tool.shears_copper, Медные ножницы
thermalfoundation:tool.sickle_copper, Медный серп
thermalfoundation:tool.hammer_copper, Медный молот
thermalfoundation:tool.excavator_copper, Медный заступ
thermalfoundation:tool.shield_copper, Медный щит
thermalfoundation:tool.sword_tin, Оловянный меч
thermalfoundation:tool.shovel_tin, Оловянная лопата
thermalfoundation:tool.pickaxe_tin, Оловянная кирка
thermalfoundation:tool.axe_tin, Оловянный топор
thermalfoundation:tool.hoe_tin, Оловянная мотыга
thermalfoundation:tool.bow_tin, Оловянный укрепленный лук
thermalfoundation:tool.fishing_rod_tin, Оловянная удочка
thermalfoundation:tool.shears_tin, Оловянные ножницы
thermalfoundation:tool.sickle_tin, Оловянный серп
thermalfoundation:tool.hammer_tin, Оловянный молот
thermalfoundation:tool.excavator_tin, Оловянный заступ
thermalfoundation:tool.shield_tin, Оловянный щит
thermalfoundation:tool.sword_silver, Серебряный меч
thermalfoundation:tool.shovel_silver, Серебряная лопата
thermalfoundation:tool.pickaxe_silver, Серебряная кирка
thermalfoundation:tool.axe_silver, Серебряный топор
thermalfoundation:tool.hoe_silver, Серебряная мотыга
thermalfoundation:tool.bow_silver, Серебряный укрепленный лук
thermalfoundation:tool.fishing_rod_silver, Серебряная удочка
thermalfoundation:tool.shears_silver, Серебряные ножницы
thermalfoundation:tool.sickle_silver, Серебряный серп
thermalfoundation:tool.hammer_silver, Серебряный молот
thermalfoundation:tool.excavator_silver, Серебряный заступ
thermalfoundation:tool.shield_silver, Серебряный щит
thermalfoundation:tool.sword_lead, Свинцовый меч
thermalfoundation:tool.shovel_lead, Свинцовая лопата
thermalfoundation:tool.pickaxe_lead, Свинцовая кирка
thermalfoundation:tool.axe_lead, Свинцовый топор
thermalfoundation:tool.hoe_lead, Свинцовая мотыга
thermalfoundation:tool.bow_lead, Свинцовый укрепленный лук
thermalfoundation:tool.fishing_rod_lead, Свинцовая удочка
thermalfoundation:tool.shears_lead, Свинцовые ножницы
thermalfoundation:tool.sickle_lead, Свинцовый серп
thermalfoundation:tool.hammer_lead, Свинцовый молот
thermalfoundation:tool.excavator_lead, Свинцовый заступ
thermalfoundation:tool.shield_lead, Свинцовый щит
thermalfoundation:tool.sword_aluminum, Алюминиевый меч
thermalfoundation:tool.shovel_aluminum, Алюминиевая лопата
thermalfoundation:tool.pickaxe_aluminum, Алюминиевая кирка
thermalfoundation:tool.axe_aluminum, Алюминиевый топор
thermalfoundation:tool.hoe_aluminum, Алюминиевая мотыга
thermalfoundation:tool.bow_aluminum, Алюминиевый укрепленный лук
thermalfoundation:tool.fishing_rod_aluminum, Алюминиевая удочка
thermalfoundation:tool.shears_aluminum, Алюминиевые ножницы
thermalfoundation:tool.sickle_aluminum, Алюминиевый серп
thermalfoundation:tool.hammer_aluminum, Алюминиевый молот
thermalfoundation:tool.excavator_aluminum, Алюминиевый заступ
thermalfoundation:tool.shield_aluminum, Алюминиевый щит
thermalfoundation:tool.sword_nickel, Никелевый меч
thermalfoundation:tool.shovel_nickel, Никелевая лопата
thermalfoundation:tool.pickaxe_nickel, Никелевая кирка
thermalfoundation:tool.axe_nickel, Никелевый топор
thermalfoundation:tool.hoe_nickel, Никелевая мотыга
thermalfoundation:tool.bow_nickel, Никелевый укрепленный лук
thermalfoundation:tool.fishing_rod_nickel, Никелевая удочка
thermalfoundation:tool.shears_nickel, Никелевые ножницы
thermalfoundation:tool.sickle_nickel, Никелевый серп
thermalfoundation:tool.hammer_nickel, Никелевый молот
thermalfoundation:tool.excavator_nickel, Никелевый заступ
thermalfoundation:tool.shield_nickel, Никелевый щит
thermalfoundation:tool.sword_platinum, Платиновый меч
thermalfoundation:tool.shovel_platinum, Платиновая лопата
thermalfoundation:tool.pickaxe_platinum, Платиновая кирка
thermalfoundation:tool.axe_platinum, Платиновый топор
thermalfoundation:tool.hoe_platinum, Платиновая мотыга
thermalfoundation:tool.bow_platinum, Платиновый укрепленный лук
thermalfoundation:tool.fishing_rod_platinum, Платиновая удочка
thermalfoundation:tool.shears_platinum, Платиновые ножницы
thermalfoundation:tool.sickle_platinum, Платиновый серп
thermalfoundation:tool.hammer_platinum, Платиновый молот
thermalfoundation:tool.excavator_platinum, Платиновый заступ
thermalfoundation:tool.shield_platinum, Платиновый щит
thermalfoundation:tool.sword_steel, Стальной меч
thermalfoundation:tool.shovel_steel, Стальная лопата
thermalfoundation:tool.pickaxe_steel, Стальная кирка
thermalfoundation:tool.axe_steel, Стальной топор
thermalfoundation:tool.hoe_steel, Стальная мотыга
thermalfoundation:tool.bow_steel, Стальной укрепленный лук
thermalfoundation:tool.fishing_rod_steel, Стальная удочка
thermalfoundation:tool.shears_steel, Стальные ножницы
thermalfoundation:tool.sickle_steel, Стальной серп
thermalfoundation:tool.hammer_steel, Стальной молот
thermalfoundation:tool.excavator_steel, Стальной заступ
thermalfoundation:tool.shield_steel, Стальной щит
thermalfoundation:tool.sword_electrum, Электрумовый меч
thermalfoundation:tool.shovel_electrum, Электрумовая лопата
thermalfoundation:tool.pickaxe_electrum, Электрумовая кирка
thermalfoundation:tool.axe_electrum, Электрумовый топор
thermalfoundation:tool.hoe_electrum, Электрумовая мотыга
thermalfoundation:tool.bow_electrum, Электрумовый укрепленный лук
thermalfoundation:tool.fishing_rod_electrum, Электрумовая удочка
thermalfoundation:tool.shears_electrum, Электрумовые ножницы
thermalfoundation:tool.sickle_electrum, Электрумовый серп
thermalfoundation:tool.hammer_electrum, Электрумовый молот
thermalfoundation:tool.excavator_electrum, Электрумовый заступ
thermalfoundation:tool.shield_electrum, Электрумовый щит
thermalfoundation:tool.sword_invar, Инваровый меч
thermalfoundation:tool.shovel_invar, Инваровая лопата
thermalfoundation:tool.pickaxe_invar, Инваровая кирка
thermalfoundation:tool.axe_invar, Инваровый топор
thermalfoundation:tool.hoe_invar, Инваровая мотыга
thermalfoundation:tool.bow_invar, Инваровый укрепленный лук
thermalfoundation:tool.fishing_rod_invar, Инваровая удочка
thermalfoundation:tool.shears_invar, Инваровые ножницы
thermalfoundation:tool.sickle_invar, Инваровый серп
thermalfoundation:tool.hammer_invar, Инваровый молот
thermalfoundation:tool.excavator_invar, Инваровый заступ
thermalfoundation:tool.shield_invar, Инваровый щит
thermalfoundation:tool.sword_bronze, Бронзовый меч
thermalfoundation:tool.shovel_bronze, Бронзовая лопата
thermalfoundation:tool.pickaxe_bronze, Бронзовая кирка
thermalfoundation:tool.axe_bronze, Бронзовый топор
thermalfoundation:tool.hoe_bronze, Бронзовая мотыга
thermalfoundation:tool.bow_bronze, Бронзовый укрепленный лук
thermalfoundation:tool.fishing_rod_bronze, Бронзовая удочка
thermalfoundation:tool.shears_bronze, Бронзовые ножницы
thermalfoundation:tool.sickle_bronze, Бронзовые серп
thermalfoundation:tool.hammer_bronze, Бронзовый молот
thermalfoundation:tool.excavator_bronze, Бронзовый заступ
thermalfoundation:tool.shield_bronze, Бронзовый щит
thermalfoundation:tool.sword_constantan, Константановый меч
thermalfoundation:tool.shovel_constantan, Константановая лопата
thermalfoundation:tool.pickaxe_constantan, Константановая кирка
thermalfoundation:tool.axe_constantan, Константановый топор
thermalfoundation:tool.hoe_constantan, Константановая мотыга
thermalfoundation:tool.bow_constantan, Константановый укрепленный лук
thermalfoundation:tool.fishing_rod_constantan, Константановая удочка
thermalfoundation:tool.shears_constantan, Константановые ножницы
thermalfoundation:tool.sickle_constantan, Константановый серп
thermalfoundation:tool.hammer_constantan, Константановый молот
thermalfoundation:tool.excavator_constantan, Константановый заступ
thermalfoundation:tool.shield_constantan, Константановый щит
thermalfoundation:tool.shears_wood, Деревянные ножницы
thermalfoundation:tool.sickle_wood, Деревянный серп
thermalfoundation:tool.hammer_wood, Деревянный молот
thermalfoundation:tool.excavator_wood, Деревянный заступ
thermalfoundation:tool.bow_stone, Каменный укрепленный лук
thermalfoundation:tool.fishing_rod_stone, Каменная удочка
thermalfoundation:tool.shears_stone, Каменные ножницы
thermalfoundation:tool.sickle_stone, Каменный серп
thermalfoundation:tool.hammer_stone, Каменный молот
thermalfoundation:tool.excavator_stone, Каменный заступ
thermalfoundation:tool.shield_stone, Каменный щит
thermalfoundation:tool.bow_iron, Железный укрепленный лук
thermalfoundation:tool.fishing_rod_iron, Железная удочка
thermalfoundation:tool.sickle_iron, Железный серп
thermalfoundation:tool.hammer_iron, Железный молот
thermalfoundation:tool.excavator_iron, Железный заступ
thermalfoundation:tool.shield_iron, Железный щит
thermalfoundation:tool.bow_diamond, Алмазный укрепленный лук
thermalfoundation:tool.fishing_rod_diamond, Алмазная удочка
thermalfoundation:tool.shears_diamond, Алмазные ножницы
thermalfoundation:tool.sickle_diamond, Алмазный серп
thermalfoundation:tool.hammer_diamond, Алмазный молот
thermalfoundation:tool.excavator_diamond, Алмазный заступ
thermalfoundation:tool.shield_diamond, Алмазный щит
thermalfoundation:tool.bow_gold, Золотой укрепленный лук
thermalfoundation:tool.fishing_rod_gold, Золотая удочка
thermalfoundation:tool.shears_gold, Золотые ножницы
thermalfoundation:tool.sickle_gold, Золотой серп
thermalfoundation:tool.hammer_gold, Золотой молот
thermalfoundation:tool.excavator_gold, Золотой заступ
thermalfoundation:tool.shield_gold, Золотой щит
thermalfoundation:horse_armor_copper, Медная конская броня
thermalfoundation:horse_armor_tin, Оловянная конская броня
thermalfoundation:horse_armor_silver, Серебряная конская броня
thermalfoundation:horse_armor_lead, Свинцовая конская броня
thermalfoundation:horse_armor_aluminum, Алюминиевая конская броня
thermalfoundation:horse_armor_nickel, Никелевая конская броня
thermalfoundation:horse_armor_platinum, Платиновая конская броня
thermalfoundation:horse_armor_steel, Стальная конская броня
thermalfoundation:horse_armor_electrum, Электрумовая конская броня
thermalfoundation:horse_armor_invar, Инваровая конская броня
thermalfoundation:horse_armor_bronze, Бронзовая конская броня
thermalfoundation:horse_armor_constantan, Константановая конская броня
thermalfoundation:fluid_crude_oil, Сырая нефть
thermalfoundation:fluid_redstone, Дестабилизированный красный камень
thermalfoundation:fluid_glowstone, Заряженный светящийся камень
thermalfoundation:fluid_ender, Резонирующий эндериум
thermalfoundation:fluid_pyrotheum, Пылающий пиротеум
thermalfoundation:fluid_cryotheum, Ледяной криотеум
thermalfoundation:fluid_aerotheum, Невесомый аэротеум
thermalfoundation:fluid_petrotheum, Тектонический петротеум
thermalfoundation:fluid_mana, Изначальная мана
thermalexpansion:machine:0, Редстоуновая печь (Основной)
thermalexpansion:machine:1, Измельчитель (Основной)
thermalexpansion:machine:2, Лесопилка (Основной)
thermalexpansion:machine:3, Индукционная плавильня (Основной)
thermalexpansion:machine:4, Фитогенный светильник (Основной)
thermalexpansion:machine:5, Компактор (Основной)
thermalexpansion:machine:6, Магмовый тигель (Основной)
thermalexpansion:machine:7, Дистилятор (Основной)
thermalexpansion:machine:8, Распределитель жидкостей (Основной)
thermalexpansion:machine:9, Энергетический зарядник (Основной)
thermalexpansion:machine:10, Центробежный разделитель (Основной)
thermalexpansion:machine:11, Последовательный сборщик (Основной)
thermalexpansion:machine:12, Алхимическая зельеварка (Основной)
thermalexpansion:machine:13, Чародейский энсорцеллатор (Основной)
thermalexpansion:machine:14, Ледниковый осадитель (Основной)
thermalexpansion:machine:15, Вулканический пресс (Основной)
thermalexpansion:device:0, Водный накопитель
thermalexpansion:device:1, Аннулятор
thermalexpansion:device:2, Термальный посредник
thermalexpansion:device:3, Древесный выжиматель
thermalexpansion:device:4, Рыболов
thermalexpansion:device:5, Предметный буфер
thermalexpansion:device:6, Жидкостный буфер
thermalexpansion:device:7, Лексический трансмутатор
thermalexpansion:device:8, Проницательный конденсатор
thermalexpansion:device:9, Рассеиватель отваров
thermalexpansion:device:10, Факторизатор
thermalexpansion:device:11, Инкапсулятор существ
thermalexpansion:device:12, Ваккумулятор
thermalexpansion:dynamo:0, Паровой генератор (Основной)
thermalexpansion:dynamo:1, Магмовый генератор (Основной)
thermalexpansion:dynamo:2, Компрессионный генератор (Основной)
thermalexpansion:dynamo:3, Реагентный генератор (Основной)
thermalexpansion:dynamo:4, Истощающий генератор (Основной)
thermalexpansion:dynamo:5, Нумизматический генератор (Основной)
thermalexpansion:cell:0, Энергетическая ячейка (Основной)
thermalexpansion:tank:0, Переносной резервуар (Основной)
thermalexpansion:cache:0, Ящик (Основной)
thermalexpansion:strongbox:0, Сейф (Основной)
thermalexpansion:capacitor:0, Флаксовый конденсатор (основной)
thermalexpansion:capacitor:1, Флаксовый конденсатор (усиленный)
thermalexpansion:capacitor:2, Флаксовый конденсатор (укреплённый)
thermalexpansion:capacitor:3, Флаксовый конденсатор (синаловый)
thermalexpansion:capacitor:4, Флаксовый конденсатор (резонирующий)
thermalexpansion:capacitor:32000, Флаксовый конденсатор (творческий)
thermalexpansion:reservoir:0, Резервуар (основной)
thermalexpansion:reservoir:1, Резервуар (усиленный)
thermalexpansion:reservoir:2, Резервуар (укреплённый)
thermalexpansion:reservoir:3, Резервуар (синаловый)
thermalexpansion:reservoir:4, Резервуар (резонирующий)
thermalexpansion:reservoir:32000, Резервуар (творческий)
thermalexpansion:satchel:0, Сумка (основная)
thermalexpansion:satchel:1, Сумка (усиленная)
thermalexpansion:satchel:2, Сумка (укреплённая)
thermalexpansion:satchel:3, Сумка (синаловая)
thermalexpansion:satchel:4, Сумка (резонирующая)
thermalexpansion:satchel:100, Сумка (пустотная)
thermalexpansion:satchel:32000, Сумка (творческая)
thermalexpansion:frame:0, Рамка механизма
thermalexpansion:frame:64, Рамка устройства
thermalexpansion:frame:128, Рамка энергетической ячейки
thermalexpansion:frame:129, Рамка усиленной энергетической ячейки
thermalexpansion:frame:130, Рамка укреплённой энергетической ячейки (пустая)
thermalexpansion:frame:131, Рамка синаловой энергетической ячейки (пустая)
thermalexpansion:frame:132, Рамка резонирующей энергетической ячейки (пустая)
thermalexpansion:frame:146, Рамка укреплённой энергетической ячейки (полная)
thermalexpansion:frame:147, Рамка синаловой энергетической ячейки (полная)
thermalexpansion:frame:148, Рамка резонирующей энергетической ячейки (полная)
thermalexpansion:augment:128, Расширение: Вспомогательная принимающая катушка
thermalexpansion:augment:129, Расширение: Вспомогательное сито
thermalexpansion:augment:130, Расширение: Камера аннулирования
thermalexpansion:augment:256, Расширение: Тривекционная камера
thermalexpansion:augment:257, Расширение: Флаксовый анодизатор
thermalexpansion:augment:258, Расширение: Пиролитический преобразователь
thermalexpansion:augment:273, Расширение: Тектонический инициатор
thermalexpansion:augment:288, Расширение: Воронка для смолы
thermalexpansion:augment:303, Расширение: Металлургический восстановитель
thermalexpansion:augment:304, Расширение: Пиро-концентратор
thermalexpansion:augment:320, Расширение: Восстановитель питательных веществ
thermalexpansion:augment:323, Расширение: Обогащатель саженцев
